fetched_at_utc,fetched_at_jst,date_jst,time_jst,full,half,quarter,total,source_updated_utc,source,general,sponsor
2026-07-21T02:30:32.958673+00:00,2026-07-21T11:30:32.958673+09:00,2026-07-21,11:30:32,56,57,17,130,,webscorer,129,1
2026-07-21T03:00:40.848771+00:00,2026-07-21T12:00:40.848771+09:00,2026-07-21,12:00:40,56,58,17,131,,webscorer,130,1
2026-07-21T03:30:43.239271+00:00,2026-07-21T12:30:43.239271+09:00,2026-07-21,12:30:43,56,59,17,132,,webscorer,131,1
2026-07-21T04:00:40.593046+00:00,2026-07-21T13:00:40.593046+09:00,2026-07-21,13:00:40,56,59,17,132,,webscorer,131,1
2026-07-21T04:30:41.941335+00:00,2026-07-21T13:30:41.941335+09:00,2026-07-21,13:30:41,56,59,17,132,,webscorer,131,1
2026-07-21T05:00:41.418520+00:00,2026-07-21T14:00:41.418520+09:00,2026-07-21,14:00:41,56,59,17,132,,webscorer,131,1
2026-07-21T05:30:43.662601+00:00,2026-07-21T14:30:43.662601+09:00,2026-07-21,14:30:43,58,60,17,135,,webscorer,134,1
2026-07-21T06:00:52.567350+00:00,2026-07-21T15:00:52.567350+09:00,2026-07-21,15:00:52,59,60,17,136,,webscorer,135,1
2026-07-21T06:30:32.366564+00:00,2026-07-21T15:30:32.366564+09:00,2026-07-21,15:30:32,59,61,17,137,,webscorer,136,1
2026-07-21T07:00:42.268827+00:00,2026-07-21T16:00:42.268827+09:00,2026-07-21,16:00:42,59,61,17,137,,webscorer,136,1
2026-07-21T07:30:33.432028+00:00,2026-07-21T16:30:33.432028+09:00,2026-07-21,16:30:33,59,61,17,137,,webscorer,136,1
2026-07-21T07:56:51.974014+00:00,2026-07-21T16:56:51.974014+09:00,2026-07-21,16:56:51,59,61,17,137,,webscorer,136,1
2026-07-21T08:00:41.633612+00:00,2026-07-21T17:00:41.633612+09:00,2026-07-21,17:00:41,59,62,17,138,,webscorer,137,1
2026-07-21T08:30:34.234201+00:00,2026-07-21T17:30:34.234201+09:00,2026-07-21,17:30:34,59,62,17,138,,webscorer,137,1
2026-07-21T09:00:41.635049+00:00,2026-07-21T18:00:41.635049+09:00,2026-07-21,18:00:41,60,62,17,139,,webscorer,138,1
2026-07-21T09:30:34.450342+00:00,2026-07-21T18:30:34.450342+09:00,2026-07-21,18:30:34,60,63,17,140,,webscorer,139,1
2026-07-21T10:00:42.218245+00:00,2026-07-21T19:00:42.218245+09:00,2026-07-21,19:00:42,60,63,17,140,,webscorer,139,1
2026-07-21T10:30:34.300044+00:00,2026-07-21T19:30:34.300044+09:00,2026-07-21,19:30:34,60,63,17,140,,webscorer,139,1
2026-07-21T11:00:42.716243+00:00,2026-07-21T20:00:42.716243+09:00,2026-07-21,20:00:42,60,63,17,140,,webscorer,139,1
2026-07-21T11:30:31.917349+00:00,2026-07-21T20:30:31.917349+09:00,2026-07-21,20:30:31,60,63,17,140,,webscorer,139,1
2026-07-21T12:00:44.645910+00:00,2026-07-21T21:00:44.645910+09:00,2026-07-21,21:00:44,60,63,17,140,,webscorer,139,1
2026-07-21T12:30:33.995364+00:00,2026-07-21T21:30:33.995364+09:00,2026-07-21,21:30:33,60,63,17,140,,webscorer,139,1
2026-07-21T13:00:46.243789+00:00,2026-07-21T22:00:46.243789+09:00,2026-07-21,22:00:46,60,63,17,140,,webscorer,139,1
2026-07-21T13:05:10.601103+00:00,2026-07-21T22:05:10.601103+09:00,2026-07-21,22:05:10,60,63,17,140,,webscorer,139,1
2026-07-21T13:30:46.802719+00:00,2026-07-21T22:30:46.802719+09:00,2026-07-21,22:30:46,60,63,17,140,,webscorer,139,1
2026-07-21T14:00:45.384940+00:00,2026-07-21T23:00:45.384940+09:00,2026-07-21,23:00:45,61,63,17,141,,webscorer,140,1
2026-07-21T14:30:36.703953+00:00,2026-07-21T23:30:36.703953+09:00,2026-07-21,23:30:36,61,64,17,142,,webscorer,141,1
